,Date,Fixa11,Bitcoin,Ibovespa
0,2021-01-12,13.239999771118164,33922.9609375,123998.0
1,2021-01-13,13.170000076293945,37316.359375,122040.0
2,2021-01-14,13.210000038146973,39187.328125,123481.0
3,2021-01-15,13.1899995803833,36825.3671875,120502.0
4,2021-01-18,13.220000267028809,36630.07421875,121242.0
5,2021-01-19,13.210000038146973,36069.8046875,120673.0
6,2021-01-20,13.199999809265137,35547.75,119708.0
7,2021-01-21,13.170000076293945,30825.69921875,118443.0
8,2021-01-22,13.119999885559082,33005.76171875,117172.0
9,2021-01-26,13.149999618530273,32569.849609375,116464.0
10,2021-01-27,13.1899995803833,30432.546875,115882.0
11,2021-01-28,13.239999771118164,33466.09765625,119314.0
12,2021-01-29,13.270000457763672,34316.38671875,116007.0
13,2021-02-01,13.279999732971191,33537.17578125,117365.0
14,2021-02-02,13.0600004196167,35510.2890625,118234.0
15,2021-02-03,13.34000015258789,37472.08984375,119725.0
16,2021-02-04,13.289999961853027,36926.06640625,119261.0
17,2021-02-05,13.279999732971191,38144.30859375,119925.0
18,2021-02-08,13.279999732971191,46196.46484375,119516.0
19,2021-02-09,13.239999771118164,46481.10546875,119429.0
20,2021-02-10,13.279999732971191,44918.18359375,118430.0
21,2021-02-11,13.279999732971191,47909.33203125,119235.0
22,2021-02-12,13.25,47504.8515625,119116.0
23,2021-02-17,13.199999809265137,52149.0078125,120391.0
24,2021-02-18,13.199999809265137,51679.796875,119140.0
25,2021-02-19,13.180000305175781,55888.1328125,118748.0
26,2021-02-22,13.119999885559082,54207.3203125,112668.0
27,2021-02-23,13.149999618530273,48824.42578125,115227.0
28,2021-02-24,13.109999656677246,49705.33203125,115668.0
29,2021-02-25,13.039999961853027,47093.8515625,112256.0
30,2021-02-26,13.020000457763672,46339.76171875,110035.0
31,2021-03-01,12.960000038146973,49631.2421875,110335.0
32,2021-03-02,12.930000305175781,48378.98828125,111540.0
33,2021-03-03,12.890000343322754,50538.2421875,111184.0
34,2021-03-04,13.039999961853027,48561.16796875,112690.0
35,2021-03-05,13.109999656677246,48927.3046875,115202.0
36,2021-03-08,13.010000228881836,52246.5234375,110612.0
37,2021-03-09,12.970000267028809,54824.1171875,111331.0
38,2021-03-10,12.949999809265137,56008.55078125,112776.0
39,2021-03-11,12.970000267028809,57805.12109375,114984.0
40,2021-03-12,12.930000305175781,57332.08984375,114160.0
41,2021-03-15,12.960000038146973,55907.19921875,114851.0
42,2021-03-16,12.949999809265137,56804.90234375,114019.0
43,2021-03-17,12.9399995803833,58870.89453125,116549.0
44,2021-03-18,12.9399995803833,57858.921875,114835.0
45,2021-03-19,12.890000343322754,58346.65234375,116222.0
46,2021-03-22,12.850000381469727,54529.14453125,114979.0
47,2021-03-23,12.8100004196167,54738.9453125,113262.0
48,2021-03-24,12.760000228881836,52774.265625,112064.0
49,2021-03-25,12.739999771118164,51704.16015625,113750.0
50,2021-03-26,12.760000228881836,55137.3125,114781.0
51,2021-03-29,12.710000038146973,57750.19921875,115419.0
52,2021-03-30,12.770000457763672,58917.69140625,116850.0
53,2021-03-31,12.800000190734863,58918.83203125,116634.0
54,2021-04-01,12.770000457763672,59095.80859375,115253.0
55,2021-04-05,12.770000457763672,59057.87890625,117518.0
56,2021-04-06,12.75,58192.359375,117499.0
57,2021-04-07,12.720000267028809,56048.9375,117624.0
58,2021-04-08,12.779999732971191,58323.953125,118313.0
59,2021-04-09,12.739999771118164,58245.00390625,117670.0
60,2021-04-12,12.75,59893.453125,118812.0
61,2021-04-13,12.75,63503.45703125,119297.0
62,2021-04-14,12.720000267028809,63109.6953125,120295.0
63,2021-04-15,12.760000228881836,63314.01171875,120701.0
64,2021-04-16,12.84000015258789,61572.7890625,121114.0
65,2021-04-19,12.869999885559082,55724.265625,120934.0
66,2021-04-20,12.829999923706055,56473.03125,120062.0
67,2021-04-22,12.90999984741211,51762.2734375,119371.0
68,2021-04-23,12.920000076293945,51093.65234375,120530.0
69,2021-04-26,12.930000305175781,54021.75390625,120595.0
70,2021-04-27,12.90999984741211,55033.1171875,119388.0
71,2021-04-28,12.920000076293945,54824.703125,121053.0
72,2021-04-29,12.9399995803833,53555.109375,120066.0
73,2021-04-30,12.90999984741211,57750.17578125,118894.0
74,2021-05-03,12.869999885559082,57200.29296875,119209.0
75,2021-05-04,12.829999923706055,53333.5390625,117712.0
76,2021-05-05,12.84000015258789,57424.0078125,119564.0
77,2021-05-06,12.829999923706055,56396.515625,119921.0
78,2021-05-07,12.8100004196167,57356.40234375,122038.0
79,2021-05-10,12.789999961853027,55859.796875,121909.0
80,2021-05-11,12.819999694824219,56704.57421875,122964.0
81,2021-05-12,12.779999732971191,49150.53515625,119710.0
82,2021-05-13,12.789999961853027,49716.19140625,120706.0
83,2021-05-14,12.779999732971191,49880.53515625,121881.0
84,2021-05-17,12.789999961853027,43537.51171875,122938.0
85,2021-05-18,12.770000457763672,42909.40234375,122980.0
86,2021-05-19,12.770000457763672,37002.44140625,122636.0
87,2021-05-20,12.800000190734863,40782.73828125,122701.0
88,2021-05-21,12.829999923706055,37304.69140625,122592.0
89,2021-05-24,12.8100004196167,38705.98046875,124032.0
90,2021-05-25,12.84000015258789,38402.22265625,122988.0
91,2021-05-26,12.869999885559082,39294.19921875,123989.0
92,2021-05-27,12.90999984741211,38436.96875,124367.0
93,2021-05-28,12.949999809265137,35697.60546875,125561.0
94,2021-05-31,12.920000076293945,37332.85546875,126216.0
95,2021-06-01,12.899999618530273,36684.92578125,128267.0
