Date,Fixa11,Bitcoin,Ibovespa,SOJA,FERRO,BRENT,IBOVMM15,IBOVMM30,IBOVMM60,IBOVMM90,IBOVMM180,SELIC,IPCA,DOLAR/REAL
2021-01-12,13.239999771118164,33922.9609375,123998.0,0.15462873545889197,0.4418012069503548,0.020307399255987624,0.5686211243110233,0.4862975007679672,0.2034567125950567,0.001834309534767395,0.0,0.0,0.4043478260869565,0.6979231818533808
2021-01-13,13.170000076293944,37316.359375,122040.0,0.13428277772829925,0.4131974050767237,0.0131723769875368,0.5755051315371917,0.49732728669880427,0.2172963812944278,0.011245670239580846,0.008045155436302038,0.0,0.4043478260869565,0.5680825842730094
2021-01-14,13.210000038146973,39187.328125,123481.0,0.17294005860973882,0.42622490433412175,0.018111959472927056,0.5857912530736923,0.5093776056036873,0.23149472773125837,0.022650742829140043,0.016567926924549572,0.0,0.4043478260869565,0.5494223449311103
2021-01-15,13.1899995803833,36825.3671875,120502.0,0.15869800461838376,0.37779666820597796,0.0,0.5937442936136335,0.5202215854395247,0.24410607217889735,0.031322798272778396,0.02535586773206546,0.0,0.4043478260869565,0.47001859992732775
2021-01-19,13.210000038146973,36069.8046875,120673.0,0.12004072373694422,0.4117813972087889,0.010976989546641574,0.6074130280235643,0.5377433803077278,0.2705353294631428,0.04990381463540598,0.04137964308948878,0.0,0.4043478260869565,0.5473140305104333
2021-01-20,13.199999809265137,35547.75,119708.0,0.0905392984643612,0.3979043148375251,0.013446806960419371,0.6085777956639437,0.544082262614039,0.2818060423674845,0.05863830660781839,0.048487853961159656,0.0,0.4043478260869565,0.5956433132591124
2021-01-21,13.170000076293944,30825.69921875,118443.0,0.08748734659474236,0.39082416746337595,0.013721184591136503,0.606748206311019,0.5485276034094945,0.29232588400832454,0.06733826928780241,0.0558684324388263,0.0,0.4043478260869565,0.5439570340189543
2021-01-22,13.119999885559082,33005.76171875,117172.0,0.0,0.3933730248394487,0.0042535860664319365,0.6029649275521622,0.5518394336555531,0.3012951794300086,0.07484957290103243,0.06331885375260274,0.0,0.4043478260869565,0.5900220101622028
2021-01-26,13.149999618530272,32569.849609375,116464.0,0.08545271201499646,0.3313509187170755,0.011114178362000187,0.5992525631093089,0.5545406247753285,0.3102350750371469,0.08318816052053074,0.07051577864451208,0.0,0.4043478260869565,0.6805901791192368
2021-01-27,13.1899995803833,30432.546875,115882.0,0.07934900230919224,0.29679976496019556,0.009742080839752674,0.5933294448650058,0.5574911135200538,0.3189756399016638,0.09147471769938402,0.07767865758567132,0.0,0.4043478260869565,0.5933790066536809
2021-01-28,13.239999771118164,33466.09765625,119314.0,0.046795625166990026,0.34381199322040457,0.005900113561562119,0.5923774201726405,0.5615265604677455,0.330563870803104,0.10048024096716054,0.0856930743921538,0.0,0.4043478260869565,0.6392879906121743
2021-01-29,13.270000457763672,34316.38671875,116007.0,0.06917602344389552,0.3299348568319031,0.010702559573759002,0.5818306885248221,0.562165210563123,0.34269893825509723,0.10791066089538627,0.09264700846985403,0.0,0.4043478260869565,0.6591109115602495
2021-02-01,13.279999732971191,33537.17578125,117365.0,0.07934900230919224,0.35400736870745786,0.01715148073892063,0.5681584083990915,0.5643967511010648,0.3549192651692755,0.11627762875523705,0.10009820797679148,0.0,0.6695652173913043,0.676920825961865
2021-02-02,13.0600004196167,35510.2890625,118234.0,0.06307231373809095,0.3296516984721063,0.0323820040098287,0.560051129221839,0.5663463145501109,0.3691969911053802,0.12485602940571246,0.1079505660577045,0.0,0.6695652173913043,0.6532636245584564
2021-02-03,13.34000015258789,37472.08984375,119725.0,0.07833168501931893,0.35967150821367216,0.046103188600965204,0.5524757074146235,0.5680064313185043,0.3833900455755927,0.13499487027155657,0.11611245046800539,0.0,0.6695652173913043,0.6036071052020237
2021-02-04,13.289999961853027,36926.06640625,119261.0,0.08138363688893778,0.37099973320886326,0.05131725340140337,0.547548935310188,0.5690372349812178,0.39600256601581374,0.1455286694823018,0.12394301914043843,0.0,0.6695652173913043,0.5919739601017419
2021-02-05,13.279999732971191,38144.30859375,119925.0,0.08240095417881073,0.40073633057339464,0.058177845696971625,0.5412446526173583,0.5711343228675012,0.40726328298321113,0.15623322313916677,0.13218564109108935,0.0,0.6695652173913043,0.6495160891605163
2021-02-08,13.279999732971191,46196.46484375,119516.0,0.11698877186732537,0.4126309803226546,0.07491770764765107,0.5394966147278396,0.5744022692619766,0.41826880956034934,0.1674817314027828,0.13964112066040593,0.0,0.6695652173913043,0.6054030629568077
2021-02-09,13.239999771118164,46481.10546875,119429.0,0.13326565447185942,0.401585967704498,0.0821899187314605,0.536282423354921,0.5772789957880841,0.42739216001025493,0.1780850622023916,0.1471676103555715,0.0,0.6695652173913043,0.6015769730219148
2021-02-10,13.279999732971191,44918.18359375,118430.0,0.07222797531351437,0.41517983769872746,0.08740398353189867,0.5323059030849501,0.5778140052978082,0.43508256349918983,0.18822201105221104,0.1543874919457011,0.0,0.6695652173913043,0.6112585404790412
2021-02-11,13.279999732971191,47909.33203125,119235.0,0.09155642172080103,0.42056076482790733,0.08287596749258426,0.5314673412981928,0.5779858059082602,0.44372787296457783,0.1998432464724535,0.16143169642996177,0.0,0.6695652173913043,0.617660921388874
2021-02-12,13.25,47504.8515625,119116.0,0.09562569088029282,0.44038519908242,0.10057630817727004,0.5326604746649737,0.5776506079780834,0.4536891181290425,0.21192187676637486,0.16861889390737006,0.0,0.6695652173913043,0.6024358607790228
