Date_,Adj Close_GC=F,Close_GC=F,High_GC=F,Low_GC=F,Open_GC=F,Volume_GC=F,Adj Close_BTC-USD,Close_BTC-USD,High_BTC-USD,Low_BTC-USD,Open_BTC-USD,Volume_BTC-USD,Adj Close_^BVSP,Close_^BVSP,High_^BVSP,Low_^BVSP,Open_^BVSP,Volume_^BVSP
2016-11-01 00:00:00+00:00,1286.4000244140625,1286.4000244140625,1290.699951171875,1279.0,1279.300048828125,49,729.7930297851562,729.7930297851562,736.4520263671875,701.3369750976562,701.3369750976562,130527000,63326.0,63326.0,65291.0,63019.0,64922.0,4505600
2016-11-03 00:00:00+00:00,1302.0999755859375,1302.0999755859375,1303.0999755859375,1287.300048828125,1296.4000244140625,73,688.7000122070312,688.7000122070312,745.7730102539062,678.156005859375,742.3460083007812,172808000,61750.0,61750.0,63524.0,61750.0,63325.0,4124000
2016-11-04 00:00:00+00:00,1303.300048828125,1303.300048828125,1303.300048828125,1296.699951171875,1300.0,11,703.2349853515625,703.2349853515625,706.9299926757812,685.56298828125,689.1240234375,99907696,61598.0,61598.0,62699.0,61491.0,61749.0,3972500
2016-11-07 00:00:00+00:00,1278.300048828125,1278.300048828125,1294.5,1278.300048828125,1292.0,34,703.1309814453125,703.1309814453125,710.7360229492188,699.9030151367188,710.7360229492188,65047100,64052.0,64052.0,64193.0,61601.0,61601.0,3325900
2016-11-08 00:00:00+00:00,1273.4000244140625,1273.4000244140625,1289.4000244140625,1273.199951171875,1284.0999755859375,50,709.8480224609375,709.8480224609375,712.9869995117188,702.3900146484375,703.0889892578125,79660800,64158.0,64158.0,64767.0,63381.0,64052.0,3265100
2016-11-09 00:00:00+00:00,1272.5999755859375,1272.5999755859375,1318.5999755859375,1270.0,1272.199951171875,108,723.2730102539062,723.2730102539062,740.0460205078125,708.6099853515625,709.8250122070312,132429000,63258.0,63258.0,64358.0,61794.0,64157.0,5630100
2016-11-10 00:00:00+00:00,1265.5,1265.5,1287.5,1253.300048828125,1274.4000244140625,63,715.5339965820312,715.5339965820312,723.0180053710938,711.2100219726562,722.843994140625,68807800,61201.0,61201.0,63903.0,60553.0,63261.0,7623700
2016-11-14 00:00:00+00:00,1221.199951171875,1221.199951171875,1229.5,1210.4000244140625,1227.800048828125,216,705.02099609375,705.02099609375,706.2839965820312,699.8079833984375,701.9970092773438,62993000,59657.0,59657.0,59961.0,58322.0,59183.0,5408500
2016-11-16 00:00:00+00:00,1223.4000244140625,1223.4000244140625,1229.300048828125,1223.0,1229.300048828125,66,744.197998046875,744.197998046875,747.614990234375,709.0390014648438,711.1669921875,141294000,60759.0,60759.0,60915.0,59364.0,59658.0,4582900
2016-11-17 00:00:00+00:00,1216.5,1216.5,1225.0,1211.0,1224.5999755859375,1139,740.9769897460938,740.9769897460938,755.64501953125,739.510986328125,744.8759765625,108579000,59770.0,59770.0,61493.0,59746.0,60763.0,3531300
2016-11-18 00:00:00+00:00,1208.5,1208.5,1211.9000244140625,1207.199951171875,1211.9000244140625,607,751.5850219726562,751.5850219726562,752.8820190429688,736.8900146484375,740.7050170898438,87363104,59962.0,59962.0,60193.0,59327.0,59770.0,3462400
2016-11-21 00:00:00+00:00,1209.5999755859375,1209.5999755859375,1209.5999755859375,1209.5999755859375,1209.5999755859375,19,739.2479858398438,739.2479858398438,741.7219848632812,730.510009765625,731.2650146484375,60802400,61070.0,61070.0,61070.0,59963.0,59963.0,3520100
2016-11-22 00:00:00+00:00,1211.0,1211.0,1211.0999755859375,1207.5999755859375,1210.4000244140625,19,751.3469848632812,751.3469848632812,753.8699951171875,736.5269775390625,739.6430053710938,129906000,61954.0,61954.0,62550.0,61072.0,61072.0,3987100
2016-11-23 00:00:00+00:00,1189.0999755859375,1189.0999755859375,1213.800048828125,1186.800048828125,1212.800048828125,309,744.593994140625,744.593994140625,752.25,738.9240112304688,751.7410278320312,76543800,61986.0,61986.0,62046.0,61234.0,61956.0,3489700
2016-11-25 00:00:00+00:00,1178.199951171875,1178.199951171875,1189.300048828125,1177.0,1177.0,14,741.6489868164062,741.6489868164062,741.6489868164062,734.5910034179688,740.4420166015625,67807600,61559.0,61559.0,61559.0,60573.0,61394.0,2653700
2016-11-28 00:00:00+00:00,1190.5999755859375,1190.5999755859375,1190.5999755859375,1188.0,1188.0,189914,735.81298828125,735.81298828125,738.0059814453125,732.4840087890625,732.4840087890625,61888600,62855.0,62855.0,62934.0,61240.0,61559.0,2752000
2016-11-29 00:00:00+00:00,1187.9000244140625,1187.9000244140625,1194.800048828125,1179.4000244140625,1193.199951171875,42124,735.60400390625,735.60400390625,737.4710083007812,734.5590209960938,736.3289794921875,68511104,60987.0,60987.0,62859.0,60980.0,62859.0,3423900
2016-11-30 00:00:00+00:00,1170.800048828125,1170.800048828125,1193.300048828125,1167.9000244140625,1187.0999755859375,7158,745.6909790039062,745.6909790039062,747.9290161132812,736.2650146484375,736.2839965820312,84070800,61906.0,61906.0,62590.0,60994.0,60994.0,4587300
2016-12-01 00:00:00+00:00,1166.9000244140625,1166.9000244140625,1174.5999755859375,1160.0,1172.699951171875,1588,756.7739868164062,756.7739868164062,758.2750244140625,746.0460205078125,746.0460205078125,80461904,59507.0,59507.0,61911.0,59058.0,61906.0,5352800
2016-12-02 00:00:00+00:00,1175.0999755859375,1175.0999755859375,1177.300048828125,1166.4000244140625,1172.300048828125,1521,777.9439697265625,777.9439697265625,781.2960205078125,757.5449829101562,757.5449829101562,127605000,60316.0,60316.0,60379.0,58092.0,59499.0,4344200
2016-12-05 00:00:00+00:00,1174.0,1174.0,1186.699951171875,1157.0,1181.800048828125,358,758.7000122070312,758.7000122070312,773.468017578125,751.7130126953125,773.3939819335938,106363000,59832.0,59832.0,60720.0,59635.0,60322.0,2861200
2016-12-06 00:00:00+00:00,1167.5999755859375,1167.5999755859375,1174.5,1167.0999755859375,1170.9000244140625,652,764.2239990234375,764.2239990234375,765.6220092773438,758.719970703125,758.719970703125,116218000,61088.0,61088.0,61235.0,59396.0,59828.0,3606500
2016-12-07 00:00:00+00:00,1175.0,1175.0,1178.5,1166.4000244140625,1167.699951171875,182,768.1320190429688,768.1320190429688,771.5430297851562,759.75,764.2109985351562,96426096,61414.0,61414.0,61918.0,61062.0,61111.0,3841700
2016-12-08 00:00:00+00:00,1169.800048828125,1169.800048828125,1177.800048828125,1169.0999755859375,1173.800048828125,322,770.8099975585938,770.8099975585938,774.697998046875,765.9459838867188,768.0759887695312,80111904,60677.0,60677.0,61936.0,60499.0,61430.0,2936600
2016-12-09 00:00:00+00:00,1159.4000244140625,1159.4000244140625,1168.800048828125,1156.0,1166.5999755859375,365,772.7940063476562,772.7940063476562,774.5280151367188,769.6489868164062,769.9439697265625,68705296,60501.0,60501.0,61129.0,60316.0,60688.0,3339800
2016-12-12 00:00:00+00:00,1163.5,1163.5,1163.9000244140625,1153.0,1158.300048828125,331,780.0869750976562,780.0869750976562,781.9219970703125,770.0399780273438,770.0399780273438,76571000,59179.0,59179.0,60517.0,59035.0,60517.0,3244400
2016-12-13 00:00:00+00:00,1156.699951171875,1156.699951171875,1164.0,1155.4000244140625,1163.5,637,780.5560302734375,780.5560302734375,788.4600219726562,777.9619750976562,780.64697265625,81645600,59281.0,59281.0,59946.0,58758.0,59178.0,3589100
2016-12-14 00:00:00+00:00,1161.300048828125,1161.300048828125,1164.0,1142.0,1159.800048828125,487,781.4810180664062,781.4810180664062,782.0339965820312,776.8389892578125,780.0050048828125,75979000,58212.0,58212.0,59338.0,58212.0,59280.0,3857000
